state,value
Alabama,247
Alaska,13
Arkansas,105
Arizona,29
California,653
Colorado,8
Connecticut,6
Delaware,0
District of Columbia,1
Florida,290
Georgia,219
Hawaii,0
Iowa,16
Idaho,1
Illinois,4
Indiana,28
Kansas,419
Kentucky,27
Louisiana,12
Maine,33
Maryland,45
Massachusetts,53
Michigan,33
Minnesota,547
Missouri,167
Mississippi,69
Montana,103
North Carolina,17
North Dakota,4
Nebraska,4
New Hampshire,80
New Jersey,47
New Mexico,728
Nevada,268
New York,418
Ohio,36
Oklahoma,620
Oregon,67
Pennsylvania,170
Rhode Island,5
South Carolina,187
South Dakota,78
Tennessee,203
Texas,216
Utah,15
Virginia,1
Vermont,57
Washington,69
Wisconsin,145
West Virginia,46
Wyoming,5
