state,value
Alabama,1867
Alaska,9
Arkansas,442
Arizona,426
California,837
Colorado,7
Connecticut,3
Delaware,0
District of Columbia,0
Florida,116
Georgia,1352
Hawaii,0
Iowa,6
Idaho,10
Illinois,9
Indiana,0
Kansas,5
Kentucky,562
Louisiana,471
Maine,2
Maryland,8
Massachusetts,0
Michigan,16
Minnesota,612
Missouri,1844
Mississippi,232
Montana,90
North Carolina,0
North Dakota,16
Nebraska,6
New Hampshire,464
New Jersey,23
New Mexico,54
Nevada,929
New York,224
Ohio,17
Oklahoma,244
Oregon,89
Pennsylvania,2
Rhode Island,0
South Carolina,1125
South Dakota,24
Tennessee,833
Texas,392
Utah,13
Virginia,1
Vermont,221
Washington,56
Wisconsin,300
West Virginia,143
Wyoming,1
