state,value
Alabama,1458
Alaska,13
Arkansas,154
Arizona,525
California,809
Colorado,12
Connecticut,6
Delaware,0
District of Columbia,1
Florida,533
Georgia,1252
Hawaii,0
Iowa,18
Idaho,11
Illinois,29
Indiana,3
Kansas,6
Kentucky,44
Louisiana,25
Maine,0
Maryland,9
Massachusetts,13
Michigan,40
Minnesota,463
Missouri,1414
Mississippi,114
Montana,54
North Carolina,2
North Dakota,1
Nebraska,3
New Hampshire,238
New Jersey,37
New Mexico,573
Nevada,689
New York,441
Ohio,12
Oklahoma,1015
Oregon,54
Pennsylvania,56
Rhode Island,0
South Carolina,695
South Dakota,42
Tennessee,42
Texas,128
Utah,13
Virginia,0
Vermont,59
Washington,45
Wisconsin,197
West Virginia,80
Wyoming,1
