state,value
Alabama,68
Alaska,21
Arkansas,338
Arizona,78
California,1155
Colorado,84
Connecticut,69
Delaware,2
District of Columbia,3
Florida,176
Georgia,1711
Hawaii,1
Iowa,24
Idaho,4
Illinois,17
Indiana,3
Kansas,0
Kentucky,29
Louisiana,48
Maine,126
Maryland,10
Massachusetts,1
Michigan,91
Minnesota,324
Missouri,2981
Mississippi,527
Montana,28
North Carolina,2
North Dakota,33
Nebraska,7
New Hampshire,663
New Jersey,79
New Mexico,71
Nevada,1235
New York,69
Ohio,5
Oklahoma,35
Oregon,134
Pennsylvania,3
Rhode Island,0
South Carolina,27
South Dakota,40
Tennessee,33
Texas,360
Utah,11
Virginia,0
Vermont,10
Washington,80
Wisconsin,209
West Virginia,131
Wyoming,2
