state,value
Alabama,1303
Alaska,8
Arkansas,171
Arizona,490
California,763
Colorado,17
Connecticut,14
Delaware,0
District of Columbia,4
Florida,111
Georgia,1345
Hawaii,0
Iowa,14
Idaho,2
Illinois,2
Indiana,0
Kansas,0
Kentucky,392
Louisiana,345
Maine,2
Maryland,14
Massachusetts,0
Michigan,10
Minnesota,502
Missouri,1539
Mississippi,327
Montana,19
North Carolina,0
North Dakota,7
Nebraska,4
New Hampshire,512
New Jersey,39
New Mexico,83
Nevada,916
New York,180
Ohio,9
Oklahoma,206
Oregon,60
Pennsylvania,1
Rhode Island,0
South Carolina,215
South Dakota,32
Tennessee,630
Texas,142
Utah,24
Virginia,0
Vermont,191
Washington,22
Wisconsin,183
West Virginia,76
Wyoming,8
