state,value
Alabama,98
Alaska,29
Arkansas,459
Arizona,114
California,1077
Colorado,87
Connecticut,32
Delaware,6
District of Columbia,0
Florida,138
Georgia,2323
Hawaii,0
Iowa,10
Idaho,0
Illinois,11
Indiana,0
Kansas,7
Kentucky,67
Louisiana,75
Maine,126
Maryland,8
Massachusetts,0
Michigan,35
Minnesota,345
Missouri,2590
Mississippi,322
Montana,33
North Carolina,0
North Dakota,23
Nebraska,10
New Hampshire,345
New Jersey,101
New Mexico,40
Nevada,1084
New York,120
Ohio,13
Oklahoma,127
Oregon,60
Pennsylvania,3
Rhode Island,0
South Carolina,88
South Dakota,43
Tennessee,26
Texas,410
Utah,17
Virginia,0
Vermont,12
Washington,36
Wisconsin,330
West Virginia,61
Wyoming,3
