state,value
Alabama,684
Alaska,42
Arkansas,133
Arizona,275
California,680
Colorado,5
Connecticut,14
Delaware,0
District of Columbia,0
Florida,439
Georgia,915
Hawaii,1
Iowa,31
Idaho,10
Illinois,3
Indiana,6
Kansas,6
Kentucky,55
Louisiana,797
Maine,39
Maryland,104
Massachusetts,0
Michigan,17
Minnesota,449
Missouri,48
Mississippi,52
Montana,160
North Carolina,15
North Dakota,22
Nebraska,0
New Hampshire,283
New Jersey,57
New Mexico,695
Nevada,39
New York,310
Ohio,14
Oklahoma,756
Oregon,64
Pennsylvania,193
Rhode Island,69
South Carolina,575
South Dakota,69
Tennessee,26
Texas,561
Utah,17
Virginia,1
Vermont,187
Washington,84
Wisconsin,233
West Virginia,212
Wyoming,28
