state,value
Alabama,1488
Alaska,18
Arkansas,194
Arizona,489
California,1169
Colorado,3
Connecticut,8
Delaware,0
District of Columbia,0
Florida,603
Georgia,1626
Hawaii,4
Iowa,43
Idaho,8
Illinois,11
Indiana,1
Kansas,30
Kentucky,106
Louisiana,31
Maine,34
Maryland,129
Massachusetts,3
Michigan,25
Minnesota,634
Missouri,1237
Mississippi,129
Montana,68
North Carolina,34
North Dakota,20
Nebraska,3
New Hampshire,307
New Jersey,75
New Mexico,727
Nevada,77
New York,531
Ohio,20
Oklahoma,216
Oregon,92
Pennsylvania,108
Rhode Island,16
South Carolina,972
South Dakota,26
Tennessee,1138
Texas,209
Utah,9
Virginia,1
Vermont,224
Washington,76
Wisconsin,262
West Virginia,357
Wyoming,8
