state,value
Alabama,398
Alaska,35
Arkansas,92
Arizona,595
California,696
Colorado,21
Connecticut,1
Delaware,1
District of Columbia,0
Florida,477
Georgia,1034
Hawaii,0
Iowa,259
Idaho,5
Illinois,6
Indiana,3
Kansas,5
Kentucky,34
Louisiana,68
Maine,76
Maryland,29
Massachusetts,0
Michigan,3
Minnesota,368
Missouri,56
Mississippi,138
Montana,58
North Carolina,26
North Dakota,20
Nebraska,0
New Hampshire,81
New Jersey,96
New Mexico,404
Nevada,30
New York,175
Ohio,15
Oklahoma,1285
Oregon,56
Pennsylvania,4
Rhode Island,25
South Carolina,592
South Dakota,63
Tennessee,374
Texas,1004
Utah,20
Virginia,0
Vermont,107
Washington,69
Wisconsin,118
West Virginia,53
Wyoming,34
