state,value
Alabama,2338
Alaska,4
Arkansas,162
Arizona,824
California,1068
Colorado,13
Connecticut,80
Delaware,0
District of Columbia,0
Florida,115
Georgia,1889
Hawaii,0
Iowa,36
Idaho,16
Illinois,13
Indiana,1
Kansas,1
Kentucky,1170
Louisiana,618
Maine,1
Maryland,12
Massachusetts,0
Michigan,9
Minnesota,474
Missouri,2952
Mississippi,415
Montana,104
North Carolina,2
North Dakota,41
Nebraska,0
New Hampshire,598
New Jersey,36
New Mexico,121
Nevada,682
New York,274
Ohio,22
Oklahoma,384
Oregon,59
Pennsylvania,9
Rhode Island,0
South Carolina,1684
South Dakota,43
Tennessee,1435
Texas,361
Utah,39
Virginia,0
Vermont,276
Washington,36
Wisconsin,713
West Virginia,148
Wyoming,4
