state,value
Alabama,322
Alaska,14
Arkansas,145
Arizona,305
California,535
Colorado,8
Connecticut,0
Delaware,0
District of Columbia,0
Florida,330
Georgia,275
Hawaii,1
Iowa,13
Idaho,8
Illinois,2
Indiana,13
Kansas,9
Kentucky,38
Louisiana,202
Maine,37
Maryland,32
Massachusetts,1
Michigan,5
Minnesota,292
Missouri,9
Mississippi,137
Montana,92
North Carolina,20
North Dakota,13
Nebraska,2
New Hampshire,119
New Jersey,36
New Mexico,596
Nevada,728
New York,323
Ohio,26
Oklahoma,484
Oregon,79
Pennsylvania,151
Rhode Island,0
South Carolina,302
South Dakota,71
Tennessee,345
Texas,231
Utah,28
Virginia,1
Vermont,101
Washington,89
Wisconsin,178
West Virginia,61
Wyoming,2
