state,value
Alabama,620
Alaska,43
Arkansas,60
Arizona,646
California,390
Colorado,204
Connecticut,25
Delaware,0
District of Columbia,0
Florida,307
Georgia,880
Hawaii,2
Iowa,156
Idaho,21
Illinois,10
Indiana,3
Kansas,0
Kentucky,52
Louisiana,390
Maine,86
Maryland,0
Massachusetts,0
Michigan,40
Minnesota,611
Missouri,64
Mississippi,118
Montana,76
North Carolina,17
North Dakota,7
Nebraska,3
New Hampshire,189
New Jersey,58
New Mexico,607
Nevada,826
New York,260
Ohio,0
Oklahoma,1105
Oregon,49
Pennsylvania,180
Rhode Island,0
South Carolina,417
South Dakota,55
Tennessee,603
Texas,398
Utah,15
Virginia,0
Vermont,146
Washington,60
Wisconsin,222
West Virginia,137
Wyoming,38
