state,value
Alabama,1250
Alaska,12
Arkansas,556
Arizona,878
California,787
Colorado,14
Connecticut,15
Delaware,2
District of Columbia,0
Florida,315
Georgia,1012
Hawaii,0
Iowa,31
Idaho,6
Illinois,18
Indiana,2
Kansas,25
Kentucky,68
Louisiana,97
Maine,33
Maryland,87
Massachusetts,7
Michigan,25
Minnesota,322
Missouri,1788
Mississippi,152
Montana,81
North Carolina,65
North Dakota,24
Nebraska,0
New Hampshire,202
New Jersey,83
New Mexico,785
Nevada,752
New York,433
Ohio,8
Oklahoma,392
Oregon,78
Pennsylvania,215
Rhode Island,6
South Carolina,658
South Dakota,62
Tennessee,796
Texas,580
Utah,8
Virginia,3
Vermont,131
Washington,62
Wisconsin,236
West Virginia,134
Wyoming,11
