state,value
Alabama,909
Alaska,11
Arkansas,117
Arizona,542
California,865
Colorado,21
Connecticut,17
Delaware,0
District of Columbia,0
Florida,314
Georgia,737
Hawaii,0
Iowa,48
Idaho,6
Illinois,11
Indiana,4
Kansas,12
Kentucky,29
Louisiana,28
Maine,51
Maryland,3
Massachusetts,15
Michigan,57
Minnesota,926
Missouri,1023
Mississippi,136
Montana,59
North Carolina,5
North Dakota,8
Nebraska,1
New Hampshire,228
New Jersey,52
New Mexico,669
Nevada,358
New York,406
Ohio,15
Oklahoma,923
Oregon,63
Pennsylvania,109
Rhode Island,0
South Carolina,259
South Dakota,131
Tennessee,14
Texas,174
Utah,12
Virginia,1
Vermont,60
Washington,84
Wisconsin,229
West Virginia,262
Wyoming,1
