state,value
Alabama,273
Alaska,6
Arkansas,112
Arizona,23
California,689
Colorado,41
Connecticut,0
Delaware,1
District of Columbia,0
Florida,404
Georgia,287
Hawaii,1
Iowa,16
Idaho,3
Illinois,0
Indiana,3
Kansas,1
Kentucky,26
Louisiana,303
Maine,43
Maryland,21
Massachusetts,0
Michigan,13
Minnesota,191
Missouri,647
Mississippi,54
Montana,56
North Carolina,8
North Dakota,6
Nebraska,2
New Hampshire,133
New Jersey,57
New Mexico,323
Nevada,591
New York,261
Ohio,19
Oklahoma,394
Oregon,114
Pennsylvania,154
Rhode Island,9
South Carolina,352
South Dakota,63
Tennessee,238
Texas,278
Utah,23
Virginia,0
Vermont,79
Washington,43
Wisconsin,156
West Virginia,39
Wyoming,8
