state,value
Alabama,2767
Alaska,11
Arkansas,185
Arizona,992
California,828
Colorado,13
Connecticut,32
Delaware,0
District of Columbia,0
Florida,149
Georgia,1716
Hawaii,0
Iowa,37
Idaho,9
Illinois,21
Indiana,4
Kansas,3
Kentucky,1011
Louisiana,902
Maine,1
Maryland,6
Massachusetts,0
Michigan,5
Minnesota,682
Missouri,1563
Mississippi,212
Montana,61
North Carolina,7
North Dakota,9
Nebraska,6
New Hampshire,385
New Jersey,88
New Mexico,342
Nevada,934
New York,345
Ohio,16
Oklahoma,328
Oregon,87
Pennsylvania,1
Rhode Island,0
South Carolina,1414
South Dakota,31
Tennessee,1211
Texas,541
Utah,27
Virginia,0
Vermont,216
Washington,49
Wisconsin,422
West Virginia,151
Wyoming,7
