date,value
1992-01-01,3957
1993-01-01,1852
1994-01-01,3473
1995-01-01,2264
1996-01-01,2875
1997-01-01,2142
1998-01-01,2575
1999-01-01,2927
2000-01-01,1938
2001-01-01,3368
2002-01-01,2759
2003-01-01,2615
2004-01-01,2270
2005-01-01,1746
2006-01-01,3184
2007-01-01,2512
2008-01-01,2668
2009-01-01,2304
2010-01-01,1925
2011-01-01,1968
2012-01-01,1657
2013-01-01,2562
2014-01-01,3047
2015-01-01,2500
