date,value
1992-01-01,87
1993-01-01,127
1994-01-01,111
1995-01-01,139
1996-01-01,157
1997-01-01,1361
1998-01-01,2283
1999-01-01,2788
2000-01-01,4234
2001-01-01,976
2002-01-01,1481
2003-01-01,94
2004-01-01,78
2005-01-01,3384
2006-01-01,3131
2007-01-01,63
2008-01-01,1438
2009-01-01,1542
2010-01-01,2419
2011-01-01,217
2012-01-01,877
2013-01-01,1075
2014-01-01,876
2015-01-01,1075
