date,value
1992-01-01,1620
1993-01-01,1363
1994-01-01,1904
1995-01-01,1731
1996-01-01,1752
1997-01-01,2528
1998-01-01,2474
1999-01-01,2113
2000-01-01,2631
2001-01-01,1327
2002-01-01,2039
2003-01-01,3297
2004-01-01,1989
2005-01-01,1728
2006-01-01,2507
2007-01-01,1787
2008-01-01,1165
2009-01-01,1233
2010-01-01,2075
2011-01-01,1235
2012-01-01,2295
2013-01-01,1132
2014-01-01,1006
2015-01-01,1838
