date,value
1992-01-01,701
1993-01-01,847
1994-01-01,1010
1995-01-01,1241
1996-01-01,651
1997-01-01,719
1998-01-01,1006
1999-01-01,1949
2000-01-01,1106
2001-01-01,1789
2002-01-01,1000
2003-01-01,641
2004-01-01,618
2005-01-01,762
2006-01-01,1026
2007-01-01,836
2008-01-01,886
2009-01-01,984
2010-01-01,796
2011-01-01,489
2012-01-01,694
2013-01-01,580
2014-01-01,951
2015-01-01,685
