date,value
1992-01-01,1287
1993-01-01,884
1994-01-01,1973
1995-01-01,1640
1996-01-01,1463
1997-01-01,1675
1998-01-01,1611
1999-01-01,1604
2000-01-01,1578
2001-01-01,993
2002-01-01,949
2003-01-01,2253
2004-01-01,1161
2005-01-01,1565
2006-01-01,1658
2007-01-01,1487
2008-01-01,813
2009-01-01,1578
2010-01-01,1312
2011-01-01,735
2012-01-01,1380
2013-01-01,692
2014-01-01,605
2015-01-01,965
