date,value
1992-01-01,5
1993-01-01,6
1994-01-01,5
1995-01-01,6
1996-01-01,28
1997-01-01,10
1998-01-01,3
1999-01-01,20
2000-01-01,19
2001-01-01,10
2002-01-01,51
2003-01-01,50
2004-01-01,50
2005-01-01,34
2006-01-01,442
2007-01-01,143
2008-01-01,151
2009-01-01,702
2010-01-01,199
2011-01-01,439
2012-01-01,458
2013-01-01,243
2014-01-01,543
2015-01-01,517
