date,value
1992-01-01,21
1993-01-01,18
1994-01-01,28
1995-01-01,47
1996-01-01,9
1997-01-01,22
1998-01-01,27
1999-01-01,40
2000-01-01,28
2001-01-01,86
2002-01-01,142
2003-01-01,63
2004-01-01,72
2005-01-01,100
2006-01-01,222
2007-01-01,259
2008-01-01,116
2009-01-01,244
2010-01-01,180
2011-01-01,79
2012-01-01,204
2013-01-01,323
2014-01-01,612
2015-01-01,537
