date,value
1992-01-01,95
1993-01-01,56
1994-01-01,85
1995-01-01,101
1996-01-01,88
1997-01-01,36
1998-01-01,57
1999-01-01,151
2000-01-01,92
2001-01-01,140
2002-01-01,123
2003-01-01,155
2004-01-01,193
2005-01-01,173
2006-01-01,86
2007-01-01,127
2008-01-01,67
2009-01-01,45
2010-01-01,73
2011-01-01,26
2012-01-01,57
2013-01-01,20
2014-01-01,36
2015-01-01,16
