date,value
1992-01-01,1322
1993-01-01,1244
1994-01-01,2515
1995-01-01,1517
1996-01-01,1405
1997-01-01,722
1998-01-01,765
1999-01-01,756
2000-01-01,1619
2001-01-01,1266
2002-01-01,1221
2003-01-01,2422
2004-01-01,1310
2005-01-01,1875
2006-01-01,1316
2007-01-01,1070
2008-01-01,1015
2009-01-01,952
2010-01-01,2694
2011-01-01,957
2012-01-01,1106
2013-01-01,3894
2014-01-01,603
2015-01-01,591
