state,value
Alabama,2418
Alaska,393
Arkansas,2828
Arizona,1295
California,6494
Colorado,603
Connecticut,0
Delaware,1
District of Columbia,3
Florida,2144
Georgia,4063
Hawaii,2
Iowa,1215
Idaho,227
Illinois,36
Indiana,543
Kansas,59
Kentucky,1446
Louisiana,876
Maine,333
Maryland,123
Massachusetts,6
Michigan,264
Minnesota,1006
Missouri,2224
Mississippi,1251
Montana,1203
North Carolina,723
North Dakota,542
Nebraska,125
New Hampshire,799
New Jersey,893
New Mexico,4358
Nevada,4587
New York,510
Ohio,612
Oklahoma,1172
Oregon,3047
Pennsylvania,875
Rhode Island,46
South Carolina,1893
South Dakota,1023
Tennessee,1260
Texas,8538
Utah,1058
Virginia,55
Vermont,821
Washington,1567
Wisconsin,951
West Virginia,605
Wyoming,595
