state,value
Alabama,1670
Alaska,592
Arkansas,1665
Arizona,847
California,8723
Colorado,3894
Connecticut,0
Delaware,1
District of Columbia,9
Florida,2163
Georgia,3252
Hawaii,60
Iowa,1566
Idaho,44
Illinois,20
Indiana,243
Kansas,14
Kentucky,1003
Louisiana,1075
Maine,444
Maryland,127
Massachusetts,5
Michigan,455
Minnesota,1132
Missouri,1488
Mississippi,413
Montana,1359
North Carolina,423
North Dakota,657
Nebraska,147
New Hampshire,872
New Jersey,1078
New Mexico,2890
Nevada,3329
New York,541
Ohio,323
Oklahoma,795
Oregon,2562
Pennsylvania,639
Rhode Island,19
South Carolina,1626
South Dakota,1022
Tennessee,638
Texas,9735
Utah,1249
Virginia,126
Vermont,581
Washington,1378
Wisconsin,580
West Virginia,692
Wyoming,581
