state,value
Alabama,6264
Alaska,364
Arkansas,3859
Arizona,2363
California,6977
Colorado,1619
Connecticut,126
Delaware,0
District of Columbia,1
Florida,6499
Georgia,10549
Hawaii,13
Iowa,1749
Idaho,29
Illinois,92
Indiana,19
Kansas,48
Kentucky,1587
Louisiana,4234
Maine,346
Maryland,14
Massachusetts,3
Michigan,115
Minnesota,2631
Missouri,7984
Mississippi,673
Montana,2428
North Carolina,114
North Dakota,977
Nebraska,87
New Hampshire,972
New Jersey,2794
New Mexico,1756
Nevada,4987
New York,627
Ohio,28
Oklahoma,1643
Oregon,1938
Pennsylvania,14
Rhode Island,0
South Carolina,4995
South Dakota,2271
Tennessee,2674
Texas,2627
Utah,1857
Virginia,0
Vermont,988
Washington,1226
Wisconsin,1106
West Virginia,1578
Wyoming,571
