state,value
Alabama,4230
Alaska,418
Arkansas,4502
Arizona,240
California,7381
Colorado,1517
Connecticut,110
Delaware,5
District of Columbia,5
Florida,3186
Georgia,7968
Hawaii,10
Iowa,1433
Idaho,47
Illinois,101
Indiana,6
Kansas,30
Kentucky,180
Louisiana,139
Maine,963
Maryland,32
Massachusetts,15
Michigan,627
Minnesota,1731
Missouri,4992
Mississippi,2060
Montana,1052
North Carolina,56
North Dakota,545
Nebraska,195
New Hampshire,1817
New Jersey,1665
New Mexico,487
Nevada,5253
New York,272
Ohio,47
Oklahoma,2603
Oregon,2264
Pennsylvania,22
Rhode Island,0
South Carolina,3520
South Dakota,665
Tennessee,106
Texas,1648
Utah,1151
Virginia,2
Vermont,1550
Washington,1213
Wisconsin,1241
West Virginia,1640
Wyoming,530
