state,value
Alabama,2012
Alaska,369
Arkansas,1898
Arizona,883
California,7744
Colorado,1015
Connecticut,366
Delaware,1
District of Columbia,0
Florida,3105
Georgia,5807
Hawaii,769
Iowa,986
Idaho,197
Illinois,67
Indiana,151
Kansas,94
Kentucky,1563
Louisiana,1438
Maine,466
Maryland,530
Massachusetts,12
Michigan,444
Minnesota,1165
Missouri,2016
Mississippi,136
Montana,1532
North Carolina,611
North Dakota,447
Nebraska,102
New Hampshire,1152
New Jersey,864
New Mexico,7156
Nevada,4382
New York,723
Ohio,116
Oklahoma,2165
Oregon,2668
Pennsylvania,652
Rhode Island,135
South Carolina,2744
South Dakota,1190
Tennessee,1429
Texas,18067
Utah,1062
Virginia,5
Vermont,1287
Washington,1490
Wisconsin,886
West Virginia,813
Wyoming,449
