state,value
Alabama,1747
Alaska,409
Arkansas,1760
Arizona,2351
California,7208
Colorado,1106
Connecticut,576
Delaware,5
District of Columbia,19
Florida,3107
Georgia,4949
Hawaii,714
Iowa,1189
Idaho,167
Illinois,57
Indiana,458
Kansas,73
Kentucky,1263
Louisiana,877
Maine,560
Maryland,163
Massachusetts,5
Michigan,711
Minnesota,2295
Missouri,1218
Mississippi,221
Montana,1854
North Carolina,1223
North Dakota,838
Nebraska,100
New Hampshire,1029
New Jersey,1174
New Mexico,3944
Nevada,3559
New York,1098
Ohio,204
Oklahoma,1655
Oregon,1657
Pennsylvania,724
Rhode Island,49
South Carolina,1971
South Dakota,2726
Tennessee,1203
Texas,7623
Utah,1592
Virginia,97
Vermont,685
Washington,1428
Wisconsin,694
West Virginia,1380
Wyoming,1046
