state,value
Alabama,1372
Alaska,513
Arkansas,2333
Arizona,1076
California,6940
Colorado,952
Connecticut,257
Delaware,1
District of Columbia,0
Florida,3016
Georgia,4176
Hawaii,816
Iowa,1198
Idaho,347
Illinois,45
Indiana,702
Kansas,71
Kentucky,1419
Louisiana,1542
Maine,483
Maryland,261
Massachusetts,1
Michigan,486
Minnesota,1233
Missouri,1966
Mississippi,239
Montana,1662
North Carolina,715
North Dakota,570
Nebraska,68
New Hampshire,614
New Jersey,1448
New Mexico,5764
Nevada,3319
New York,415
Ohio,244
Oklahoma,2049
Oregon,2304
Pennsylvania,633
Rhode Island,47
South Carolina,1757
South Dakota,984
Tennessee,1477
Texas,14142
Utah,1157
Virginia,1
Vermont,784
Washington,2000
Wisconsin,984
West Virginia,1578
Wyoming,474
