state,value
Alabama,2926
Alaska,538
Arkansas,2918
Arizona,1001
California,7133
Colorado,1221
Connecticut,107
Delaware,1
District of Columbia,39
Florida,3131
Georgia,7804
Hawaii,576
Iowa,1511
Idaho,43
Illinois,123
Indiana,51
Kansas,128
Kentucky,1050
Louisiana,1481
Maine,664
Maryland,14
Massachusetts,115
Michigan,308
Minnesota,2039
Missouri,2832
Mississippi,670
Montana,1597
North Carolina,183
North Dakota,649
Nebraska,116
New Hampshire,1419
New Jersey,2077
New Mexico,3512
Nevada,5590
New York,907
Ohio,142
Oklahoma,1535
Oregon,2759
Pennsylvania,628
Rhode Island,0
South Carolina,4683
South Dakota,1962
Tennessee,1485
Texas,1229
Utah,1143
Virginia,6
Vermont,1572
Washington,1418
Wisconsin,1000
West Virginia,949
Wyoming,670
