state,value
Alabama,2074
Alaska,771
Arkansas,3819
Arizona,1289
California,7365
Colorado,591
Connecticut,372
Delaware,3
District of Columbia,16
Florida,2548
Georgia,2355
Hawaii,4
Iowa,1277
Idaho,106
Illinois,16
Indiana,517
Kansas,5887
Kentucky,756
Louisiana,1075
Maine,406
Maryland,150
Massachusetts,2170
Michigan,523
Minnesota,1838
Missouri,2122
Mississippi,769
Montana,1866
North Carolina,599
North Dakota,526
Nebraska,140
New Hampshire,770
New Jersey,778
New Mexico,5884
Nevada,2471
New York,1003
Ohio,537
Oklahoma,1185
Oregon,2500
Pennsylvania,807
Rhode Island,85
South Carolina,1299
South Dakota,966
Tennessee,612
Texas,8304
Utah,605
Virginia,87
Vermont,597
Washington,1741
Wisconsin,685
West Virginia,965
Wyoming,632
