state,value
Alabama,4501
Alaska,482
Arkansas,2736
Arizona,2224
California,8910
Colorado,756
Connecticut,297
Delaware,8
District of Columbia,2
Florida,5484
Georgia,11138
Hawaii,9
Iowa,1916
Idaho,53
Illinois,151
Indiana,20
Kansas,36
Kentucky,1879
Louisiana,2788
Maine,681
Maryland,34
Massachusetts,7
Michigan,150
Minnesota,2113
Missouri,5436
Mississippi,1204
Montana,2089
North Carolina,75
North Dakota,1047
Nebraska,5
New Hampshire,1758
New Jersey,1231
New Mexico,711
Nevada,4041
New York,506
Ohio,40
Oklahoma,1665
Oregon,2927
Pennsylvania,30
Rhode Island,0
South Carolina,5384
South Dakota,1409
Tennessee,3454
Texas,1775
Utah,1282
Virginia,3
Vermont,1583
Washington,1475
Wisconsin,1949
West Virginia,1604
Wyoming,305
