state,value
Alabama,2547
Alaska,619
Arkansas,3690
Arizona,2296
California,6678
Colorado,1875
Connecticut,293
Delaware,2
District of Columbia,14
Florida,2395
Georgia,6049
Hawaii,1242
Iowa,1144
Idaho,62
Illinois,173
Indiana,34
Kansas,175
Kentucky,1766
Louisiana,3384
Maine,472
Maryland,417
Massachusetts,30
Michigan,641
Minnesota,1728
Missouri,3520
Mississippi,413
Montana,1497
North Carolina,177
North Dakota,749
Nebraska,88
New Hampshire,996
New Jersey,1582
New Mexico,7700
Nevada,4045
New York,903
Ohio,100
Oklahoma,2768
Oregon,1746
Pennsylvania,783
Rhode Island,18
South Carolina,2704
South Dakota,1762
Tennessee,2041
Texas,6901
Utah,1362
Virginia,26
Vermont,786
Washington,1089
Wisconsin,762
West Virginia,1565
Wyoming,521
