state,value
Alabama,1824
Alaska,478
Arkansas,2916
Arizona,1664
California,7913
Colorado,2422
Connecticut,95
Delaware,0
District of Columbia,21
Florida,2150
Georgia,4567
Hawaii,941
Iowa,1657
Idaho,48
Illinois,155
Indiana,50
Kansas,113
Kentucky,956
Louisiana,94
Maine,624
Maryland,5
Massachusetts,75
Michigan,750
Minnesota,3297
Missouri,1913
Mississippi,340
Montana,2471
North Carolina,161
North Dakota,664
Nebraska,56
New Hampshire,674
New Jersey,1969
New Mexico,4934
Nevada,2041
New York,835
Ohio,63
Oklahoma,1639
Oregon,2615
Pennsylvania,407
Rhode Island,0
South Carolina,1315
South Dakota,1730
Tennessee,31
Texas,1147
Utah,1422
Virginia,9
Vermont,344
Washington,1433
Wisconsin,641
West Virginia,2253
Wyoming,717
