state,value
Alabama,2591
Alaska,721
Arkansas,2250
Arizona,1040
California,7930
Colorado,722
Connecticut,83
Delaware,3
District of Columbia,5
Florida,3912
Georgia,7234
Hawaii,12
Iowa,1130
Idaho,10
Illinois,36
Indiana,10
Kansas,22
Kentucky,675
Louisiana,1361
Maine,585
Maryland,19
Massachusetts,11
Michigan,118
Minnesota,2528
Missouri,2783
Mississippi,1314
Montana,993
North Carolina,57
North Dakota,595
Nebraska,85
New Hampshire,1383
New Jersey,1380
New Mexico,365
Nevada,4512
New York,453
Ohio,22
Oklahoma,914
Oregon,2142
Pennsylvania,12
Rhode Island,0
South Carolina,3070
South Dakota,607
Tennessee,1394
Texas,770
Utah,862
Virginia,2
Vermont,1133
Washington,999
Wisconsin,719
West Virginia,1675
Wyoming,195
