state,value
Alabama,3566
Alaska,408
Arkansas,2679
Arizona,1156
California,6864
Colorado,765
Connecticut,30
Delaware,13
District of Columbia,0
Florida,4813
Georgia,7301
Hawaii,26
Iowa,1758
Idaho,22
Illinois,57
Indiana,3
Kansas,31
Kentucky,957
Louisiana,2283
Maine,580
Maryland,17
Massachusetts,1
Michigan,170
Minnesota,2474
Missouri,3424
Mississippi,521
Montana,1909
North Carolina,43
North Dakota,638
Nebraska,171
New Hampshire,1312
New Jersey,1294
New Mexico,310
Nevada,4324
New York,492
Ohio,27
Oklahoma,816
Oregon,2575
Pennsylvania,18
Rhode Island,0
South Carolina,3508
South Dakota,816
Tennessee,1836
Texas,2026
Utah,873
Virginia,2
Vermont,1168
Washington,1477
Wisconsin,1006
West Virginia,1611
Wyoming,198
