state,value
Alabama,3054
Alaska,694
Arkansas,2843
Arizona,1364
California,7418
Colorado,1310
Connecticut,87
Delaware,0
District of Columbia,27
Florida,3618
Georgia,8127
Hawaii,687
Iowa,1138
Idaho,88
Illinois,193
Indiana,50
Kansas,76
Kentucky,1238
Louisiana,78
Maine,467
Maryland,21
Massachusetts,69
Michigan,467
Minnesota,1989
Missouri,2812
Mississippi,307
Montana,1503
North Carolina,169
North Dakota,776
Nebraska,70
New Hampshire,819
New Jersey,1229
New Mexico,4062
Nevada,4343
New York,819
Ohio,72
Oklahoma,1688
Oregon,2270
Pennsylvania,193
Rhode Island,0
South Carolina,3058
South Dakota,1377
Tennessee,69
Texas,1040
Utah,1519
Virginia,16
Vermont,301
Washington,1591
Wisconsin,618
West Virginia,1161
Wyoming,409
