state,value
Alabama,4048
Alaska,718
Arkansas,3761
Arizona,224
California,9173
Colorado,1405
Connecticut,27
Delaware,0
District of Columbia,0
Florida,4697
Georgia,9872
Hawaii,8
Iowa,1974
Idaho,21
Illinois,88
Indiana,28
Kansas,30
Kentucky,72
Louisiana,157
Maine,315
Maryland,17
Massachusetts,4
Michigan,386
Minnesota,1752
Missouri,4923
Mississippi,443
Montana,1993
North Carolina,59
North Dakota,1088
Nebraska,83
New Hampshire,768
New Jersey,2101
New Mexico,107
Nevada,4238
New York,527
Ohio,9
Oklahoma,2689
Oregon,2875
Pennsylvania,12
Rhode Island,0
South Carolina,4414
South Dakota,839
Tennessee,56
Texas,2843
Utah,1666
Virginia,0
Vermont,824
Washington,1091
Wisconsin,651
West Virginia,1463
Wyoming,1032
