state,value
Alabama,3452
Alaska,640
Arkansas,4519
Arizona,167
California,8654
Colorado,2515
Connecticut,290
Delaware,4
District of Columbia,2
Florida,3530
Georgia,6584
Hawaii,9
Iowa,3336
Idaho,27
Illinois,85
Indiana,5
Kansas,47
Kentucky,178
Louisiana,111
Maine,541
Maryland,16
Massachusetts,1
Michigan,644
Minnesota,1904
Missouri,3356
Mississippi,1607
Montana,2984
North Carolina,80
North Dakota,710
Nebraska,133
New Hampshire,1326
New Jersey,2668
New Mexico,129
Nevada,5739
New York,501
Ohio,28
Oklahoma,1913
Oregon,3473
Pennsylvania,20
Rhode Island,1
South Carolina,4489
South Dakota,882
Tennessee,73
Texas,907
Utah,1663
Virginia,6
Vermont,78
Washington,2022
Wisconsin,1010
West Virginia,1973
Wyoming,919
