state,value
Alabama,3833
Alaska,513
Arkansas,2443
Arizona,1301
California,10151
Colorado,1070
Connecticut,331
Delaware,1
District of Columbia,2
Florida,4589
Georgia,8717
Hawaii,964
Iowa,1589
Idaho,99
Illinois,127
Indiana,143
Kansas,196
Kentucky,2081
Louisiana,63
Maine,481
Maryland,598
Massachusetts,34
Michigan,516
Minnesota,1787
Missouri,2767
Mississippi,523
Montana,1997
North Carolina,822
North Dakota,698
Nebraska,95
New Hampshire,1097
New Jersey,1428
New Mexico,6319
Nevada,7284
New York,865
Ohio,259
Oklahoma,1334
Oregon,2512
Pennsylvania,514
Rhode Island,21
South Carolina,3998
South Dakota,1627
Tennessee,3393
Texas,5477
Utah,1548
Virginia,5
Vermont,1446
Washington,1304
Wisconsin,836
West Virginia,1487
Wyoming,595
