state,value
Alabama,2042
Alaska,508
Arkansas,1912
Arizona,2546
California,8562
Colorado,957
Connecticut,227
Delaware,2
District of Columbia,0
Florida,5029
Georgia,8414
Hawaii,603
Iowa,1318
Idaho,136
Illinois,26
Indiana,439
Kansas,56
Kentucky,1032
Louisiana,217
Maine,365
Maryland,133
Massachusetts,0
Michigan,309
Minnesota,1235
Missouri,1614
Mississippi,740
Montana,1190
North Carolina,832
North Dakota,721
Nebraska,4
New Hampshire,272
New Jersey,2197
New Mexico,3740
Nevada,5427
New York,373
Ohio,79
Oklahoma,2542
Oregon,1968
Pennsylvania,201
Rhode Island,34
South Carolina,3181
South Dakota,1431
Tennessee,1195
Texas,19453
Utah,1095
Virginia,0
Vermont,813
Washington,1028
Wisconsin,489
West Virginia,735
Wyoming,640
